[21:21:31] [INFO] received Windows console close event; shutting log-core down
[10:37:40] [INFO] received Windows console close event; shutting log-core down
[10:41:00] [INFO] received Windows console close event; shutting log-core down
[13:43:49] [INFO] received Windows console close event; shutting log-core down
[14:02:13] [INFO] received Windows console close event; shutting log-core down
[14:09:16] [INFO] received Windows console close event; shutting log-core down
[15:02:20] [INFO] received Windows console close event; shutting log-core down
[15:04:38] [INFO] received Windows console close event; shutting log-core down
[15:12:25] [INFO] received Windows console close event; shutting log-core down
[15:13:19] [INFO] received Windows console close event; shutting log-core down
[15:17:25] [INFO] received Windows console close event; shutting log-core down
[15:19:17] [INFO] received Windows console close event; shutting log-core down
[22:30:37] [INFO] received Windows console close event; shutting log-core down
[22:33:51] [INFO] received Windows console close event; shutting log-core down
[22:34:23] [INFO] received Windows console close event; shutting log-core down
[22:35:41] [INFO] received Windows console close event; shutting log-core down
[22:38:05] [INFO] received Windows console close event; shutting log-core down
[22:40:43] [INFO] received Windows console close event; shutting log-core down
[22:41:57] [INFO] received Windows console close event; shutting log-core down
[22:44:06] [INFO] received Windows console close event; shutting log-core down
[22:45:04] [INFO] received Windows console close event; shutting log-core down
[22:46:48] [INFO] received Windows console close event; shutting log-core down
[22:48:52] [INFO] received Windows console close event; shutting log-core down
[12:04:56] [INFO] received Windows console close event; shutting log-core down
[12:26:45] [INFO] received Windows console close event; shutting log-core down
[12:31:30] [INFO] received Windows console close event; shutting log-core down
[12:33:26] [INFO] received Windows console close event; shutting log-core down
[12:35:00] [INFO] received Windows console close event; shutting log-core down
[12:02:44] [INFO] received Windows console close event; shutting log-core down
[12:03:10] [INFO] received Windows console close event; shutting log-core down
[12:03:48] [INFO] received Windows console close event; shutting log-core down
[12:37:50] [INFO] received Windows console close event; shutting log-core down
[12:57:55] [INFO] received Windows console close event; shutting log-core down
[12:59:31] [INFO] received Windows console close event; shutting log-core down
[13:08:46] [INFO] received Windows console close event; shutting log-core down
[13:13:47] [INFO] received Windows console close event; shutting log-core down
[13:29:01] [INFO] received Windows console close event; shutting log-core down
[13:31:59] [INFO] received Windows console close event; shutting log-core down
[13:33:46] [INFO] received Windows console close event; shutting log-core down
[15:42:29] [INFO] received Windows console close event; shutting log-core down
[15:52:34] [INFO] received Windows console close event; shutting log-core down
[15:53:36] [INFO] received Windows console close event; shutting log-core down
[15:55:20] [INFO] received Windows console close event; shutting log-core down
[15:57:06] [INFO] received Windows console close event; shutting log-core down
[16:02:37] [INFO] received Windows console close event; shutting log-core down
[16:04:05] [INFO] received Windows console close event; shutting log-core down
[16:08:19] [INFO] received Windows console close event; shutting log-core down
[16:08:28] [INFO] received Windows console close event; shutting log-core down
[16:08:34] [INFO] received Windows console close event; shutting log-core down
[16:10:10] [INFO] received Windows console close event; shutting log-core down
[19:59:47] [INFO] received Windows console close event; shutting log-core down
[20:04:12] [INFO] received Windows console close event; shutting log-core down
[20:08:26] [INFO] received Windows console close event; shutting log-core down
[20:13:25] [INFO] received Windows console close event; shutting log-core down
[09:33:34] [INFO] received Windows console close event; shutting log-core down
[09:35:53] [INFO] received Windows console close event; shutting log-core down
[09:37:35] [INFO] received Windows console close event; shutting log-core down
[16:27:10] [INFO] received Windows console close event; shutting log-core down
[16:27:30] [INFO] received Windows console close event; shutting log-core down
[16:27:34] [INFO] received Windows console close event; shutting log-core down
[16:27:40] [INFO] received Windows console close event; shutting log-core down
[16:27:54] [INFO] received Windows console close event; shutting log-core down
[16:31:08] [INFO] received Windows console close event; shutting log-core down
[17:51:20] [INFO] received Windows console close event; shutting log-core down
[17:54:09] [INFO] received Windows console close event; shutting log-core down
[17:54:42] [INFO] received Windows console close event; shutting log-core down
[17:56:29] [INFO] received Windows console close event; shutting log-core down
[18:01:51] [INFO] received Windows console close event; shutting log-core down
[18:07:44] [INFO] received Windows console close event; shutting log-core down
[18:21:19] [INFO] received Windows console close event; shutting log-core down
[18:38:59] [INFO] received Windows console close event; shutting log-core down
[18:39:22] [INFO] received Windows console close event; shutting log-core down
[18:42:24] [INFO] received Windows console close event; shutting log-core down
[18:44:38] [INFO] received Windows console close event; shutting log-core down
[18:46:18] [INFO] received Windows console close event; shutting log-core down
[18:47:00] [INFO] received Windows console close event; shutting log-core down
[18:55:00] [INFO] received Windows console close event; shutting log-core down
[14:37:18] [INFO] received Windows console close event; shutting log-core down
[14:37:24] [INFO] received Windows console close event; shutting log-core down
[14:37:29] [INFO] received Windows console close event; shutting log-core down
[14:38:06] [INFO] received Windows console close event; shutting log-core down
[14:38:39] [INFO] received Windows console close event; shutting log-core down
[14:39:04] [INFO] received Windows console close event; shutting log-core down
[14:39:25] [INFO] received Windows console close event; shutting log-core down
[14:39:28] [INFO] received Windows console close event; shutting log-core down
[14:39:51] [INFO] received Windows console close event; shutting log-core down
[14:43:38] [INFO] received Windows console close event; shutting log-core down
[14:43:50] [INFO] received Windows console close event; shutting log-core down
[14:51:53] [INFO] received Windows console close event; shutting log-core down
[14:53:32] [INFO] received Windows console close event; shutting log-core down
[14:54:31] [INFO] received Windows console close event; shutting log-core down
[14:57:00] [INFO] received Windows console close event; shutting log-core down
[15:00:39] [INFO] received Windows console close event; shutting log-core down
[15:04:10] [INFO] received Windows console close event; shutting log-core down
[15:05:18] [INFO] received Windows console close event; shutting log-core down
[15:23:53] [INFO] received Windows console close event; shutting log-core down
[15:24:41] [INFO] received Windows console close event; shutting log-core down
